order_id,account_id,company,status,currency,subtotal,tax,total,created_at
19,98752,Glover PLC,invoiced,EUR,6766.21,1353.24,8119.45,2026-03-03T17:27:32.139357Z
20,99948,Green Ltd,paid,EUR,1.12,0.22,1.34,2026-03-03T17:27:30.486423Z
21,31620,Norris-Reid,created,EUR,4456.93,891.39,5348.32,2026-03-03T17:27:30.489116Z
22,28398,Johnson Group,created,EUR,1.56,0.31,1.87,2026-03-03T17:27:32.222909Z
23,47999,Smith LLC,invoiced,EUR,3663.28,732.66,4395.94,2026-03-03T17:27:30.640435Z
24,60182,"White, Murillo and Lee",confirmed,USD,3465.0,242.55,3707.55,2026-03-03T17:27:30.661631Z
25,59409,Lewis LLC,created,GBP,8756.0,1751.2,10507.2,2026-03-03T17:27:30.707075Z
26,36575,"Harris, Burke and Brown",invoiced,USD,23970.0,1677.9,25647.9,2026-03-03T17:27:30.694374Z
27,94999,Miles-Krueger,created,USD,991.64,69.41,1061.05,2026-03-03T17:27:30.758304Z
28,24805,"Anderson, Harper and Thompson",confirmed,GBP,10746.0,2149.2,12895.2,2026-03-03T17:27:30.861541Z
29,81843,Reed PLC,confirmed,EUR,1683.54,336.71,2020.25,2026-03-03T17:27:30.909421Z
30,80658,Carr-Howell,paid,EUR,9951.13,1990.23,11941.36,2026-03-03T17:27:30.954481Z
31,11609,Rodriguez-Long,confirmed,GBP,0.62,0.12,0.74,2026-03-03T17:27:30.965743Z
32,20147,Thomas Ltd,confirmed,USD,580.96,40.67,621.63,2026-03-03T17:27:32.265593Z
33,84754,Chen LLC,confirmed,GBP,1247.32,249.46,1496.78,2026-03-03T17:27:31.170730Z
34,79328,Willis-Bridges,invoiced,EUR,580.99,116.2,697.19,2026-03-03T17:27:31.209837Z
35,81918,Christensen-Burgess,confirmed,USD,1.76,0.12,1.88,2026-03-03T17:27:31.276967Z
36,53083,Bird LLC,confirmed,EUR,3.36,0.67,4.03,2026-03-03T17:27:31.333746Z
37,99391,"Davis, Williamson and Wilkinson",confirmed,EUR,1389.47,277.89,1667.36,2026-03-03T17:27:32.455582Z
38,93817,Patterson-Ramsey,paid,USD,1683.0,117.81,1800.81,2026-03-03T17:27:31.374988Z
39,37505,Cruz-Lee,invoiced,EUR,0.21,0.04,0.25,2026-03-03T17:27:31.420136Z
40,70110,"Humphrey, Johnson and Campbell",paid,EUR,2079.0,415.8,2494.8,2026-03-03T17:27:31.500311Z
41,59941,Hall-Martin,created,GBP,2.38,0.48,2.86,2026-03-03T17:27:32.640515Z
42,93810,Johnson LLC,invoiced,USD,35539.0,2487.73,38026.73,2026-03-03T17:27:32.769292Z
43,15053,Horton-Thomas,created,EUR,10957.0,2191.4,13148.4,2026-03-03T17:27:31.725121Z
44,63547,"Weaver, Atkins and Thompson",invoiced,EUR,1567.28,313.46,1880.74,2026-03-03T17:27:31.722193Z
45,45635,Freeman-Miller,created,USD,6457.1,452.0,6909.1,2026-03-03T17:27:31.772385Z
46,20011,Williams-Matthews,paid,GBP,1.47,0.29,1.76,2026-03-03T17:27:31.880648Z
47,56117,Jordan Group,paid,USD,297.27,20.81,318.08,2026-03-03T17:27:31.917156Z
48,81848,Anderson-Dawson,created,GBP,7191.0,1438.2,8629.2,2026-03-03T17:27:31.931178Z
49,18766,Gutierrez-Rodriguez,paid,USD,17939.0,1255.73,19194.73,2026-03-03T17:27:33.096889Z
50,75213,Diaz-Macdonald,invoiced,EUR,3.87,0.77,4.64,2026-03-03T17:27:32.032448Z
51,41918,"Tran, Sanchez and Chaney",paid,USD,23171.0,1621.97,24792.97,2026-03-03T17:27:33.251691Z
52,45168,Beard PLC,confirmed,GBP,20104.0,4020.8,24124.8,2026-03-03T17:27:33.247202Z
53,90889,Bryant Ltd,created,EUR,17578.0,3515.6,21093.6,2026-03-03T17:27:33.317694Z
54,28019,Hawkins-Webb,confirmed,GBP,2.0,0.4,2.4,2026-03-03T17:27:33.308045Z
55,21841,Hernandez Ltd,confirmed,GBP,20895.0,4179.0,25074.0,2026-03-03T17:27:33.281841Z
56,83368,Wells PLC,confirmed,EUR,0.08,0.02,0.1,2026-03-03T17:27:36.563945Z
57,15579,Lawrence-Smith,created,USD,15549.0,1088.43,16637.43,2026-03-03T17:27:33.408747Z
58,86121,Harris Ltd,created,USD,1881.0,131.67,2012.67,2026-03-03T17:27:33.272961Z
59,39384,Cantu Group,confirmed,GBP,31.33,6.27,37.6,2026-03-03T17:27:33.457322Z
60,50344,Lane-Baker,invoiced,EUR,2.3,0.46,2.76,2026-03-03T17:27:35.351437Z
61,74813,Hawkins LLC,paid,GBP,27970.28,5594.06,33564.34,2026-03-03T17:27:35.371289Z
62,85400,Brown and Sons,confirmed,EUR,1073.9,214.78,1288.68,2026-03-03T17:27:33.383428Z
63,68345,Carter-Blankenship,confirmed,GBP,6781.88,1356.38,8138.26,2026-03-03T17:27:33.368869Z
64,72411,Mccoy Group,paid,GBP,9950.0,1990.0,11940.0,2026-03-03T17:27:33.336588Z
65,64361,Roberts-Kirk,created,EUR,2.18,0.44,2.62,2026-03-03T17:27:33.402372Z
66,19281,Hamilton-Sanchez,invoiced,USD,1.03,0.07,1.1,2026-03-03T17:27:33.399011Z
67,19803,Miranda Group,invoiced,GBP,6062.21,1212.44,7274.65,2026-03-03T17:27:33.420835Z
68,71127,"Burgess, Odonnell and Rodriguez",invoiced,GBP,841.94,168.39,1010.33,2026-03-03T17:27:35.496638Z
69,99684,Davis and Sons,invoiced,USD,9751.46,682.6,10434.06,2026-03-03T17:27:33.564284Z
70,25523,Warner-Cole,invoiced,GBP,8560.96,1712.19,10273.15,2026-03-03T17:27:33.580352Z
71,52434,"Harvey, Smith and Mcgrath",confirmed,EUR,198.67,39.73,238.4,2026-03-03T17:27:33.697040Z
72,19624,"Rodgers, Lopez and Hale",created,USD,7363.61,515.45,7879.06,2026-03-03T17:27:33.732403Z
73,46675,Shaw PLC,created,GBP,32221.0,6444.2,38665.2,2026-03-03T17:27:33.813899Z
74,90035,"Camacho, Flores and Marsh",paid,GBP,694.68,138.94,833.62,2026-03-03T17:27:33.798512Z
75,69093,"Kim, Williams and Saunders",paid,EUR,3664.36,732.87,4397.23,2026-03-03T17:27:36.740791Z
76,58569,Clements-Gonzalez,paid,GBP,4059.0,811.8,4870.8,2026-03-03T17:27:33.934740Z
77,43125,Gonzalez-Lee,paid,GBP,377.0,75.4,452.4,2026-03-03T17:27:34.051689Z
78,34596,Evans Ltd,invoiced,GBP,0.3,0.06,0.36,2026-03-03T17:27:35.579054Z
79,29049,Bailey-Martin,created,GBP,5174.0,1034.8,6208.8,2026-03-03T17:27:34.124218Z
80,45584,Weaver-Erickson,paid,GBP,1598.04,319.61,1917.65,2026-03-03T17:27:34.180736Z
81,76314,Morgan-Schmidt,paid,GBP,9354.28,1870.86,11225.14,2026-03-03T17:27:34.238257Z
82,28968,Lucero-Carter,created,USD,0.11,0.01,0.12,2026-03-03T17:27:34.283406Z
83,75032,Davis-Gray,created,GBP,6177.15,1235.43,7412.58,2026-03-03T17:27:34.298046Z
84,47170,Burns PLC,created,GBP,0.53,0.11,0.64,2026-03-03T17:27:34.400961Z
85,36160,"Gilbert, Rodriguez and Stein",confirmed,EUR,1594.7,318.94,1913.64,2026-03-03T17:27:34.432810Z
86,14067,"Monroe, Stewart and Smith",invoiced,EUR,551.0,110.2,661.2,2026-03-03T17:27:34.464648Z
87,29130,"Lopez, Combs and Fernandez",confirmed,USD,116.31,8.14,124.45,2026-03-03T17:27:34.526994Z
88,62099,Cook and Sons,invoiced,GBP,11985.0,2397.0,14382.0,2026-03-03T17:27:35.703612Z
89,20628,"Warner, Green and Cooper",confirmed,GBP,799.34,159.87,959.21,2026-03-03T17:27:34.715322Z
90,36695,"Davis, Keller and Willis",paid,GBP,34357.0,6871.4,41228.4,2026-03-03T17:27:34.783280Z
91,20947,"Jackson, Sutton and Martin",confirmed,GBP,27970.12,5594.02,33564.14,2026-03-03T17:27:34.748024Z
92,65187,"Cunningham, Grant and Chapman",created,EUR,8678.15,1735.63,10413.78,2026-03-03T17:27:34.815673Z
93,74795,"Sharp, Ware and Davis",confirmed,EUR,594.0,118.8,712.8,2026-03-03T17:27:34.931695Z
94,81670,Martinez LLC,created,EUR,995.02,199.0,1194.02,2026-03-03T17:27:36.055255Z
95,79711,"Booker, Doyle and Bowers",confirmed,GBP,1.01,0.2,1.21,2026-03-03T17:27:36.107932Z
96,58574,Velez-Foster,invoiced,EUR,232.0,46.4,278.4,2026-03-03T17:27:36.312629Z
97,35498,Shaffer-Watson,invoiced,EUR,1720.0,344.0,2064.0,2026-03-03T17:27:35.082369Z
98,56713,"Guerra, Gomez and Brown",created,GBP,26367.84,5273.57,31641.41,2026-03-03T17:27:35.198135Z
99,62950,Gonzalez-White,invoiced,EUR,3.9,0.78,4.68,2026-03-03T17:27:35.203740Z
100,29093,Gibson-Townsend,confirmed,USD,4060.69,284.25,4344.94,2026-03-03T17:27:35.323386Z
101,86172,Kerr PLC,created,EUR,1276.62,255.32,1531.94,2026-03-03T17:27:36.836635Z
102,29421,"Gilbert, Jackson and Marquez",paid,EUR,4752.29,950.46,5702.75,2026-03-03T17:27:36.877991Z
103,69807,"Horton, Meyers and Norris",paid,USD,15724.04,1100.68,16824.72,2026-03-03T17:27:37.009019Z
104,12560,Dennis and Sons,created,USD,1.36,0.1,1.46,2026-03-03T17:27:36.881377Z
105,87506,Carpenter-Rodriguez,created,GBP,1.92,0.38,2.3,2026-03-03T17:27:36.893122Z
106,72814,Peters PLC,created,USD,0.06,0.0,0.06,2026-03-03T17:27:36.962448Z
107,42306,"Perkins, Compton and Barrett",invoiced,USD,1.12,0.08,1.2,2026-03-03T17:27:36.958834Z
108,27107,"Ochoa, Gilmore and Cruz",confirmed,EUR,0.04,0.01,0.05,2026-03-03T17:27:36.929274Z
109,46645,Stevens PLC,paid,EUR,23172.76,4634.55,27807.31,2026-03-03T17:27:36.982980Z
110,60860,"Wright, Olson and Hill",invoiced,GBP,891.22,178.24,1069.46,2026-03-03T17:27:36.946411Z
111,37887,Snyder-Sanders,invoiced,USD,10944.0,766.08,11710.08,2026-03-03T17:27:37.005754Z
112,73077,"Riley, Evans and Marshall",invoiced,EUR,1492.61,298.52,1791.13,2026-03-03T17:27:36.956391Z
113,14004,"Dillon, Bowen and Smith",invoiced,USD,4.03,0.28,4.31,2026-03-03T17:27:36.896111Z
114,41579,"Garcia, Wade and Sanchez",paid,GBP,988.96,197.79,1186.75,2026-03-03T17:27:36.900231Z
115,47125,Waters PLC,paid,EUR,45709.12,9141.82,54850.94,2026-03-03T17:27:36.948755Z
116,88617,"Bowen, Smith and Lucas",created,EUR,2.84,0.57,3.41,2026-03-03T17:27:36.953819Z
117,41470,Martin Group,invoiced,USD,0.27,0.02,0.29,2026-03-03T17:27:38.833253Z
118,92825,Collins Ltd,invoiced,USD,0.19,0.01,0.2,2026-03-03T17:27:37.011345Z
119,47486,Rodgers PLC,confirmed,GBP,986.0,197.2,1183.2,2026-03-03T17:27:36.986460Z
120,77493,Lopez Ltd,confirmed,EUR,7549.0,1509.8,9058.8,2026-03-03T17:27:37.050327Z
121,21442,Silva Group,created,GBP,9552.78,1910.56,11463.34,2026-03-03T17:27:37.079123Z
122,76849,Harper LLC,paid,GBP,986.0,197.2,1183.2,2026-03-03T17:27:37.154246Z
123,16863,Miller-Russell,invoiced,EUR,594.0,118.8,712.8,2026-03-03T17:27:37.253733Z
124,46412,"Smith, Meza and Brown",created,EUR,67116.0,13423.2,80539.2,2026-03-03T17:27:37.283212Z
125,41824,Clayton PLC,paid,GBP,10099.0,2019.8,12118.8,2026-03-03T17:27:37.354546Z
126,85048,Lane Group,paid,USD,1.68,0.12,1.8,2026-03-03T17:27:37.445788Z
127,15842,"Carpenter, Carson and Johnson",invoiced,EUR,1045.15,209.03,1254.18,2026-03-03T17:27:37.470792Z
128,41017,Hunt-Anderson,confirmed,USD,1.22,0.09,1.31,2026-03-03T17:27:37.550065Z
129,86821,"Nelson, Wilkerson and Beasley",paid,EUR,16779.07,3355.81,20134.88,2026-03-03T17:27:37.552100Z
130,78128,Nelson-Yang,paid,EUR,1794.76,358.95,2153.71,2026-03-03T17:27:37.617275Z
131,51344,Carrillo-Miller,paid,EUR,0.41,0.08,0.49,2026-03-03T17:27:37.717111Z
132,64057,Russell and Sons,invoiced,GBP,599.14,119.83,718.97,2026-03-03T17:27:37.694981Z
133,74727,Olson-Mack,confirmed,GBP,5487.0,1097.4,6584.4,2026-03-03T17:27:37.831451Z
134,73454,"Gonzalez, Riggs and Bartlett",paid,GBP,22155.96,4431.19,26587.15,2026-03-03T17:27:37.863491Z
135,97757,Garrett-Aguilar,paid,USD,1.2,0.08,1.28,2026-03-03T17:27:37.930883Z
136,85460,Rice-Hamilton,confirmed,GBP,1.37,0.27,1.64,2026-03-03T17:27:37.918041Z
137,19485,Ortiz and Sons,confirmed,GBP,37553.0,7510.6,45063.6,2026-03-03T17:27:37.999384Z
138,35354,Cole-Wolfe,confirmed,GBP,5685.0,1137.0,6822.0,2026-03-03T17:27:38.056603Z
139,10197,"Jensen, Franklin and Walter",created,USD,0.8,0.06,0.86,2026-03-03T17:27:38.101476Z
140,22453,Adams PLC,invoiced,USD,17145.08,1200.16,18345.24,2026-03-03T17:27:38.201235Z
141,77806,Carpenter Group,confirmed,EUR,54332.0,10866.4,65198.4,2026-03-03T17:27:38.246188Z
142,86361,"Frazier, Tucker and Tucker",confirmed,USD,36754.0,2572.78,39326.78,2026-03-03T17:27:38.243936Z
143,34107,Smith and Sons,invoiced,GBP,3.3,0.66,3.96,2026-03-03T17:27:38.314343Z
144,68755,Gibson Ltd,paid,USD,10930.8,765.16,11695.96,2026-03-03T17:27:38.360855Z
145,65412,"Smith, Johnson and Flores",created,EUR,3196.0,639.2,3835.2,2026-03-03T17:27:38.455477Z
146,27476,Hanson Inc,paid,EUR,18379.85,3675.97,22055.82,2026-03-03T17:27:38.493065Z
147,89330,"Hernandez, Duffy and Gonzales",paid,GBP,0.49,0.1,0.59,2026-03-03T17:27:38.580213Z
148,62887,"Fields, Cordova and Williams",created,EUR,1537.21,307.44,1844.65,2026-03-03T17:27:38.598755Z
149,19320,King and Sons,invoiced,GBP,5059.27,1011.85,6071.12,2026-03-03T17:27:38.640432Z
150,52777,Lopez-Torres,created,GBP,5212.06,1042.41,6254.47,2026-03-03T17:27:38.771417Z
151,63689,"Chen, Harris and Mcpherson",confirmed,EUR,9553.15,1910.63,11463.78,2026-03-03T17:27:38.928703Z
152,61308,"Thomas, Bonilla and Yates",created,EUR,1194.0,238.8,1432.8,2026-03-03T17:27:38.974966Z
153,74292,Johnson Ltd,paid,GBP,1247.29,249.46,1496.75,2026-03-03T17:27:38.936782Z
154,36626,Tucker-Clark,created,EUR,36822.0,7364.4,44186.4,2026-03-03T17:27:39.050442Z
155,86137,"Ryan, English and Bird",paid,GBP,3366.1,673.22,4039.32,2026-03-03T17:27:39.092304Z
156,73934,Small-Wright,invoiced,GBP,1386.0,277.2,1663.2,2026-03-03T17:27:39.117854Z
157,90169,Walker-Smith,invoiced,GBP,551.0,110.2,661.2,2026-03-03T17:27:39.140748Z
158,99686,Michael Inc,paid,USD,7545.0,528.15,8073.15,2026-03-03T17:27:39.233114Z
159,61710,Chambers and Sons,invoiced,GBP,32759.0,6551.8,39310.8,2026-03-03T17:27:39.320423Z
160,26061,"Cooper, Thompson and Matthews",created,USD,74130.0,5189.1,79319.1,2026-03-03T17:27:39.352470Z
161,77922,Pierce and Sons,confirmed,USD,8046.0,563.22,8609.22,2026-03-03T17:27:41.581386Z
162,17039,"Leach, Harris and Harris",paid,EUR,11985.42,2397.08,14382.5,2026-03-03T17:27:39.411848Z
163,80965,"Bryant, Silva and Vasquez",invoiced,EUR,1653.0,330.6,1983.6,2026-03-03T17:27:39.514794Z
164,22495,"Turner, Acevedo and Ford",paid,EUR,0.12,0.02,0.14,2026-03-03T17:27:41.722703Z
165,12205,Nixon Group,paid,EUR,10387.9,2077.58,12465.48,2026-03-03T17:27:39.641231Z
166,33424,"Morrison, Patterson and Murphy",created,USD,2786.34,195.04,2981.38,2026-03-03T17:27:39.649286Z
167,39993,Murphy LLC,invoiced,EUR,3.85,0.77,4.62,2026-03-03T17:27:39.738644Z
168,25057,"Wood, Lopez and Patel",paid,GBP,0.41,0.08,0.49,2026-03-03T17:27:39.764125Z
169,43492,"Weber, Peters and Martinez",paid,EUR,1.23,0.25,1.48,2026-03-03T17:27:39.795885Z
170,55218,"Flores, Davis and Nguyen",paid,EUR,0.33,0.07,0.4,2026-03-03T17:27:39.884148Z
171,83639,Mcgrath-Wilson,confirmed,EUR,2.22,0.44,2.66,2026-03-03T17:27:39.967409Z
172,56205,Lewis LLC,paid,GBP,0.66,0.13,0.79,2026-03-03T17:27:39.979444Z
173,52483,Barnett-Strickland,confirmed,EUR,39950.0,7990.0,47940.0,2026-03-03T17:27:41.705671Z
174,10614,Lucero-Crawford,created,USD,1.28,0.09,1.37,2026-03-03T17:27:40.137901Z
175,68190,Williams PLC,paid,GBP,37131.0,7426.2,44557.2,2026-03-03T17:27:40.196581Z
176,13892,Saunders and Sons,confirmed,USD,11744.0,822.08,12566.08,2026-03-03T17:27:41.340429Z
177,38415,Fisher-Lee,invoiced,EUR,1102.16,220.43,1322.59,2026-03-03T17:27:40.242967Z
178,24768,"Orozco, Newman and Fischer",created,USD,3.37,0.24,3.61,2026-03-03T17:27:40.306934Z
179,35975,Summers Inc,created,USD,27167.7,1901.74,29069.44,2026-03-03T17:27:40.426064Z
180,28905,Craig PLC,paid,USD,33350.0,2334.5,35684.5,2026-03-03T17:27:40.408056Z
181,86145,"Garcia, Cook and Morgan",paid,GBP,10547.0,2109.4,12656.4,2026-03-03T17:27:40.464027Z
182,69253,Hall-Morse,confirmed,GBP,3168.98,633.8,3802.78,2026-03-03T17:27:40.597524Z
183,24148,Burgess Inc,paid,USD,1.18,0.08,1.26,2026-03-03T17:27:40.571351Z
184,46165,Allen Ltd,invoiced,EUR,786.12,157.22,943.34,2026-03-03T17:27:40.716023Z
185,24818,Moore PLC,confirmed,EUR,754.0,150.8,904.8,2026-03-03T17:27:40.711075Z
186,54865,"Perry, Kelley and Cole",created,EUR,26367.05,5273.41,31640.46,2026-03-03T17:27:40.757906Z
187,56037,Lara-Hernandez,paid,EUR,12120.0,2424.0,14544.0,2026-03-03T17:27:43.027539Z
188,39017,Melendez-Allen,paid,GBP,0.83,0.17,1.0,2026-03-03T17:27:40.870572Z
189,73364,"Hill, Johnston and Wilson",confirmed,EUR,9950.98,1990.2,11941.18,2026-03-03T17:27:40.941228Z
190,19776,Walton LLC,paid,EUR,0.29,0.06,0.35,2026-03-03T17:27:41.053781Z
191,79146,"Savage, Palmer and Thomas",created,USD,3268.14,228.77,3496.91,2026-03-03T17:27:42.169802Z
192,58933,Miller-Parker,invoiced,GBP,0.99,0.2,1.19,2026-03-03T17:27:41.132563Z
193,83635,Mercado-Hines,confirmed,USD,9590.31,671.32,10261.63,2026-03-03T17:27:41.130957Z
194,88983,Perkins LLC,created,GBP,9282.0,1856.4,11138.4,2026-03-03T17:27:41.185088Z
195,88055,Williams-Gonzalez,created,USD,1.89,0.13,2.02,2026-03-03T17:27:41.284590Z
196,95118,"Dawson, Marquez and Norton",paid,GBP,4455.0,891.0,5346.0,2026-03-03T17:27:41.825384Z
197,80762,Anderson Inc,paid,USD,464.0,32.48,496.48,2026-03-03T17:27:41.356602Z
198,16944,"Dawson, Garcia and Manning",invoiced,GBP,6392.0,1278.4,7670.4,2026-03-03T17:27:41.464770Z
199,55120,"Long, Hill and Marquez",created,USD,1073.44,75.14,1148.58,2026-03-03T17:27:41.522026Z
200,15978,Navarro Inc,created,USD,377.0,26.39,403.39,2026-03-03T17:27:41.543260Z
201,18795,"Nguyen, Smith and Campbell",created,EUR,3781.3,756.26,4537.56,2026-03-03T17:27:43.206059Z
202,60533,"Harrison, Marks and Gonzalez",created,EUR,0.28,0.06,0.34,2026-03-03T17:27:43.233841Z
203,21895,Wilkinson PLC,created,EUR,1980.0,396.0,2376.0,2026-03-03T17:27:43.200694Z
204,62023,Buckley and Sons,created,EUR,6766.24,1353.25,8119.49,2026-03-03T17:27:43.212788Z
205,66939,Ramsey-Herrera,paid,EUR,10639.0,2127.8,12766.8,2026-03-03T17:27:43.239766Z
206,11133,Torres Ltd,paid,EUR,2587.24,517.45,3104.69,2026-03-03T17:27:43.227682Z
207,76319,"Caldwell, Castaneda and Walker",invoiced,EUR,8955.0,1791.0,10746.0,2026-03-03T17:27:43.276590Z
208,46577,"Norman, Brown and Salinas",invoiced,GBP,30363.11,6072.62,36435.73,2026-03-03T17:27:43.236104Z
209,83012,"Johnson, Sheppard and Mitchell",confirmed,GBP,4440.0,888.0,5328.0,2026-03-03T17:27:46.026344Z
210,60423,Becker Ltd,paid,GBP,15181.0,3036.2,18217.2,2026-03-03T17:27:43.246471Z
211,84042,Yang-Smith,invoiced,USD,11144.46,780.11,11924.57,2026-03-03T17:27:43.273623Z
212,61938,"Haas, Thornton and Brown",created,GBP,4653.23,930.65,5583.88,2026-03-03T17:27:43.224314Z
213,29942,Robinson-Smith,created,GBP,5245.0,1049.0,6294.0,2026-03-03T17:27:43.216632Z
214,77801,"Kelly, Evans and Fernandez",paid,USD,0.48,0.03,0.51,2026-03-03T17:27:43.243048Z
215,15773,"Ellison, Garcia and Mitchell",invoiced,GBP,6766.0,1353.2,8119.2,2026-03-03T17:27:43.253244Z
216,37223,"Lopez, Castillo and Smith",created,USD,0.45,0.03,0.48,2026-03-03T17:27:43.297001Z
217,47569,Lopez Ltd,created,EUR,5.05,1.01,6.06,2026-03-03T17:27:43.231415Z
218,49369,Rodriguez PLC,created,GBP,995.21,199.04,1194.25,2026-03-03T17:27:43.293637Z
219,93549,Rose-Murphy,paid,EUR,34152.32,6830.46,40982.78,2026-03-03T17:27:43.219021Z
220,40540,"Wright, Hill and Morales",confirmed,EUR,1.65,0.33,1.98,2026-03-03T17:27:43.208924Z
221,42173,Davis-Ramirez,paid,USD,1363.74,95.46,1459.2,2026-03-03T17:27:43.299434Z
222,24142,Campbell Inc,invoiced,EUR,4975.49,995.1,5970.59,2026-03-03T17:27:43.397257Z
223,53529,Gonzales-Myers,created,EUR,6368.85,1273.77,7642.62,2026-03-03T17:27:43.470509Z
224,18360,Marshall PLC,created,GBP,0.61,0.12,0.73,2026-03-03T17:27:43.436378Z
225,41389,Luna PLC,confirmed,GBP,3.19,0.64,3.83,2026-03-03T17:27:43.538716Z
226,73445,Gates PLC,confirmed,EUR,2970.0,594.0,3564.0,2026-03-03T17:27:43.567234Z
227,62305,"Wood, Griffin and Allen",confirmed,EUR,29.0,5.8,34.8,2026-03-03T17:27:43.633497Z
228,96057,Berry and Sons,invoiced,GBP,1.93,0.39,2.32,2026-03-03T17:27:44.990586Z
229,79311,Perez PLC,confirmed,USD,3.61,0.25,3.86,2026-03-03T17:27:43.744091Z
230,31210,Bryan-Hardy,paid,USD,198.0,13.86,211.86,2026-03-03T17:27:43.854211Z
231,12856,Carson LLC,created,EUR,2397.86,479.57,2877.43,2026-03-03T17:27:45.086390Z
232,46833,Hall Inc,created,GBP,0.21,0.04,0.25,2026-03-03T17:27:43.941450Z
233,99453,"Thompson, Hall and Horn",created,GBP,23173.16,4634.63,27807.79,2026-03-03T17:27:45.165463Z
234,54807,Glenn-Hodge,confirmed,EUR,812.0,162.4,974.4,2026-03-03T17:27:45.194181Z
235,55458,"Robertson, Johnson and Jones",created,USD,377.0,26.39,403.39,2026-03-03T17:27:44.108831Z
236,98243,Simpson-Oconnor,created,GBP,0.19,0.04,0.23,2026-03-03T17:27:44.308486Z
237,91595,Stein-Cordova,paid,EUR,3465.61,693.12,4158.73,2026-03-03T17:27:45.425137Z
238,58644,Graham Ltd,invoiced,EUR,0.06,0.01,0.07,2026-03-03T17:27:44.312759Z
239,25560,Carey and Sons,created,GBP,0.15,0.03,0.18,2026-03-03T17:27:44.377279Z
240,90793,Johnson LLC,created,EUR,3.21,0.64,3.85,2026-03-03T17:27:44.379143Z
241,79960,Gomez Ltd,paid,GBP,0.07,0.01,0.08,2026-03-03T17:27:44.437199Z
242,53955,Crawford PLC,paid,GBP,6.68,1.34,8.02,2026-03-03T17:27:44.485894Z
243,78901,Coleman-Hayes,invoiced,USD,3964.0,277.48,4241.48,2026-03-03T17:27:44.536684Z
244,99140,Reyes-Riley,paid,USD,1.07,0.07,1.14,2026-03-03T17:27:44.540600Z
245,26491,Ruiz-Hayes,created,EUR,1.48,0.3,1.78,2026-03-03T17:27:44.672594Z
246,17899,"Hughes, Kelly and Simon",paid,EUR,25568.0,5113.6,30681.6,2026-03-03T17:27:44.676418Z
247,70064,Smith-Grimes,confirmed,USD,4060.07,284.2,4344.27,2026-03-03T17:27:44.751299Z
248,64518,"Howe, Woods and Harris",invoiced,USD,18380.29,1286.62,19666.91,2026-03-03T17:27:44.762931Z
249,45532,"Gates, Ramirez and Harper",paid,EUR,6562.0,1312.4,7874.4,2026-03-03T17:27:44.861796Z
250,60797,Fitzpatrick-Hart,created,EUR,29170.0,5834.0,35004.0,2026-03-03T17:27:44.895285Z
251,68298,"Reyes, Lane and Bryant",created,GBP,36754.0,7350.8,44104.8,2026-03-03T17:27:46.142539Z
252,91512,Huber LLC,invoiced,USD,812.0,56.84,868.84,2026-03-03T17:27:46.117342Z
253,80542,"James, Glenn and Delgado",confirmed,EUR,0.01,0.0,0.01,2026-03-03T17:27:46.208091Z
254,59126,"King, Stanley and Robinson",created,EUR,6534.0,1306.8,7840.8,2026-03-03T17:27:46.215939Z
255,17248,Davidson-Pope,created,USD,3.41,0.24,3.65,2026-03-03T17:27:46.189940Z
